,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,piojo,10.75,-75.11,87.8,83,75,5.82,CO,1591122012
88,mount gambier,-37.83,140.77,50.0,71,90,13.87,AU,1591122013
89,medea,36.26,2.75,75.2,60,56,10.29,DZ,1591122013
90,namibe,-15.2,12.15,74.01,69,0,6.15,AO,1591121588
91,tukrah,32.53,20.58,66.92,63,0,9.44,LY,1591122014
92,ponta do sol,32.67,-17.1,69.8,77,40,16.11,PT,1591121577
93,saint george,37.1,-113.58,90.0,17,1,1.5,US,1591122012
94,kapaa,22.08,-159.32,81.0,94,90,3.36,US,1591121510
95,intipuca,13.2,-88.05,77.0,100,75,2.24,SV,1591122015
96,amurzet,47.7,131.1,50.36,91,84,2.28,RU,1591122015
97,klaksvik,62.23,-6.59,50.0,71,81,12.75,FO,1591122016
98,dzhebariki-khaya,62.22,135.8,44.73,76,36,1.74,RU,1591122016
99,ribeira grande,38.52,-28.7,62.6,82,75,11.41,PT,1591121594
100,gigmoto,13.78,124.39,80.56,74,1,3.8,PH,1591122016
101,klyuchi,52.27,79.17,61.95,59,31,7.67,RU,1591122017
102,tecpan,14.76,-90.99,59.0,96,99,1.99,GT,1591122017
103,pevek,69.7,170.31,35.44,86,6,6.85,RU,1591122017
104,grindavik,63.84,-22.43,48.2,81,90,14.99,IS,1591122018
105,ust-omchug,61.15,149.63,39.51,84,68,4.56,RU,1591122018
106,umea,63.83,20.26,55.4,66,50,8.05,SE,1591122018
107,campbell river,50.02,-125.24,51.8,81,90,6.93,CA,1591122019
108,vestmannaeyjar,63.44,-20.27,50.0,81,75,13.87,IS,1591121559
109,georgetown,5.41,100.34,82.4,88,20,1.07,MY,1591121403
110,new norfolk,-42.78,147.06,45.0,63,59,1.99,AU,1591121565
111,palmer,42.16,-72.33,69.01,48,75,8.37,US,1591122020
112,college,64.86,-147.8,61.0,58,40,4.7,US,1591122020
113,tazovskiy,67.47,78.7,39.88,73,52,8.57,RU,1591121587
114,qaqortoq,60.72,-46.03,46.4,93,90,1.12,GL,1591122021
115,guerrero negro,27.98,-114.06,77.18,46,34,10.83,MX,1591121571
116,abonnema,4.71,6.79,79.38,84,82,7.11,NG,1591122022
117,cabedelo,-6.98,-34.83,86.0,66,40,9.17,BR,1591122022
118,evensk,61.95,159.23,38.17,85,66,1.7,RU,1591122022
119,pisco,-13.7,-76.22,66.0,88,90,5.82,PE,1591121588
120,narsaq,60.92,-46.05,46.4,93,90,1.12,GL,1591122023
121,vaini,-21.2,-175.2,75.2,88,20,8.05,TO,1591121562
122,conceicao do araguaia,-8.26,-49.26,87.8,58,40,3.36,BR,1591122023
123,vao,-22.67,167.48,74.75,87,34,13.2,NC,1591122023
124,etoka,43.92,43.05,68.0,64,33,8.95,RU,1591122024
125,kishi,9.08,3.85,82.76,70,82,6.6,NG,1591122024
126,jiaocheng,24.68,116.14,75.13,91,57,1.97,CN,1591122024
127,grand-lahou,5.14,-5.02,81.16,80,100,6.93,CI,1591122025
128,puerto ayora,-0.74,-90.35,80.6,69,40,19.46,EC,1591121573
129,mahebourg,-20.41,57.7,73.4,83,75,14.99,MU,1591121834
130,rafai,4.95,23.92,74.61,85,56,2.64,CF,1591122026
131,bac lieu,9.29,105.72,81.64,80,100,7.45,VN,1591122026
132,rio grande,-32.03,-52.1,60.8,77,75,11.41,BR,1591121329
133,dikson,73.51,80.55,31.82,97,0,6.8,RU,1591122027
134,abulug,18.45,121.45,79.81,86,85,4.5,PH,1591122027
135,denpasar,-8.65,115.22,84.2,94,40,17.22,ID,1591121833
136,saskylakh,71.92,114.08,37.78,76,25,7.49,RU,1591121595
137,umtata,-31.59,28.78,55.4,71,1,1.12,ZA,1591122028
138,talnakh,69.49,88.4,42.8,87,75,11.18,RU,1591122028
139,aykhal,66.0,111.5,55.4,37,75,6.71,RU,1591122029
140,kargasok,59.06,80.86,43.16,86,99,13.56,RU,1591122029
141,poya,-21.35,165.15,74.25,81,84,2.59,NC,1591122029
142,itarema,-2.92,-39.92,83.62,74,21,11.81,BR,1591122029
143,shingu,33.73,135.98,64.26,86,76,5.99,JP,1591121563
144,togur,58.36,82.83,45.5,95,100,11.25,RU,1591122030
145,sonamukhi,23.3,87.42,84.9,61,99,10.71,IN,1591122010
146,la ronge,55.1,-105.28,62.6,45,40,12.75,CA,1591121566
147,nouadhibou,20.93,-17.03,73.4,73,12,18.34,MR,1591122031
148,cap malheureux,-19.98,57.61,72.0,82,45,5.99,MU,1591122031
149,takapau,-40.03,176.35,39.99,86,0,3.96,NZ,1591122032
150,katsuura,35.13,140.3,71.01,90,97,10.31,JP,1591121564
151,maragogi,-9.01,-35.22,81.7,76,68,7.67,BR,1591122032
152,praia da vitoria,38.73,-27.07,66.2,77,75,20.4,PT,1591122032
153,chuy,-33.7,-53.46,58.77,61,21,5.21,UY,1591121598
154,east london,-33.02,27.91,73.35,39,99,7.52,ZA,1591121568
155,sao filipe,14.9,-24.5,74.44,78,12,6.82,CV,1591122033
156,hamilton,39.18,-84.53,87.01,39,1,11.41,US,1591122031
157,astoria,46.19,-123.83,57.99,76,1,3.36,US,1591122034
158,arlit,18.74,7.39,104.45,9,24,8.46,NE,1591122034
159,excelsior springs,39.34,-94.23,86.0,45,1,12.75,US,1591122034
160,veraval,20.9,70.37,83.46,78,78,3.98,IN,1591122034
161,pindi gheb,33.24,72.27,69.8,83,20,6.93,PK,1591122035
162,nikolskoye,59.7,30.79,60.8,36,7,8.95,RU,1591121576
163,achutupo,9.2,-77.98,83.59,77,99,7.29,PA,1591122035
