,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,tuatapere,-46.13,167.68,53.49,87,100,6.2,NZ,1591122099
385,itoman,26.12,127.67,80.6,100,40,11.41,JP,1591122099
386,hervey bay,-25.3,152.85,50.0,56,0,5.99,AU,1591122100
387,kovdor,67.57,30.48,66.43,53,16,7.4,RU,1591122100
388,senador pompeu,-5.59,-39.37,80.96,84,40,3.94,BR,1591122100
389,saint-joseph,-21.37,55.62,69.8,77,35,9.17,RE,1591122100
390,placido de castro,-10.34,-67.19,82.36,73,98,3.15,BR,1591122101
391,grootfontein,-19.57,18.12,57.97,37,0,6.02,NA,1591122101
392,malanje,-9.54,16.34,69.22,43,38,1.66,AO,1591122101
393,bemidji,47.47,-94.88,79.0,38,1,7.99,US,1591122102
394,zyryanka,65.75,150.85,47.8,62,68,6.73,RU,1591121563
395,kattivakkam,13.22,80.32,87.8,74,20,9.17,IN,1591122102
396,robinson,31.47,-97.11,88.0,48,40,8.05,US,1591122102
397,tando jam,25.43,68.54,86.32,70,3,17.47,PK,1591122103
398,porto novo,6.5,2.6,82.4,74,20,4.7,BJ,1591122103
399,batagay,67.63,134.63,48.81,67,100,5.08,RU,1591122103
400,bubaque,11.28,-15.83,81.45,78,72,13.0,GW,1591122103
401,nyurba,63.28,118.33,49.3,50,31,2.53,RU,1591122104
402,nelson bay,-32.72,152.15,50.0,71,0,17.22,AU,1591122104
403,wuwei,37.93,102.64,66.0,28,78,6.58,CN,1591122104
404,barkhan,29.9,69.53,75.79,50,44,3.85,PK,1591122105
405,souillac,-20.52,57.52,73.4,83,75,14.99,MU,1591122105
406,mexticacan,21.27,-102.78,78.8,29,40,8.05,MX,1591122105
407,enid,36.4,-97.88,89.6,52,75,9.17,US,1591122105
408,betafo,-19.83,46.85,52.7,85,2,6.8,MG,1591122106
409,vardo,70.37,31.11,46.4,87,75,21.92,NO,1591121591
410,pechenga,69.53,31.17,51.8,66,40,16.11,RU,1591122106
411,presidencia roque saenz pena,-26.79,-60.44,68.0,41,0,1.01,AR,1591122107
412,saravena,6.95,-71.88,82.98,80,67,2.42,CO,1591122107
413,port barton,10.48,119.25,79.29,79,96,2.35,PH,1591122107
414,athabasca,54.72,-113.29,64.09,43,5,13.58,CA,1591122108
415,nador,35.17,-2.93,73.4,73,96,6.93,MA,1591122108
416,nanning,22.82,108.32,80.6,83,80,2.24,CN,1591122108
417,ridgecrest,35.62,-117.67,91.99,14,75,3.36,US,1591122063
418,latung,5.5,120.88,83.34,70,1,5.12,PH,1591122109
419,freeport,40.66,-73.58,73.4,38,40,11.41,US,1591122096
420,chepareria,1.31,35.2,63.77,82,98,1.14,KE,1591122109
421,novo cruzeiro,-17.47,-41.88,76.53,58,21,4.0,BR,1591122110
422,la asuncion,11.03,-63.86,89.6,49,0,20.8,VE,1591122110
423,taoudenni,22.68,-3.98,106.77,14,38,19.84,ML,1591122110
424,bosaso,11.28,49.18,89.87,60,69,7.87,SO,1591122110
425,mondlo,-27.98,30.72,54.03,39,0,4.52,ZA,1591122111
426,umarizal,-5.99,-37.81,84.2,68,86,7.16,BR,1591122111
427,vila,42.03,-8.16,72.0,77,74,8.05,PT,1591122111
428,kirkenes,69.73,30.05,51.8,66,40,16.11,NO,1591122112
429,jiwani,25.05,61.74,87.64,71,13,10.58,PK,1591122112
430,puri,19.8,85.85,78.8,94,40,5.82,IN,1591122112
431,rupert,42.62,-113.68,71.6,40,1,6.93,US,1591122113
432,vetapalem,15.78,80.32,86.07,77,93,13.73,IN,1591122113
433,grand gaube,-20.01,57.66,72.0,82,56,5.99,MU,1591122113
434,havelock,34.88,-76.9,80.6,51,75,13.87,US,1591122113
435,kensington,-33.92,151.22,50.0,70,0,10.29,AU,1591122114
436,hasaki,35.73,140.83,70.0,94,75,3.36,JP,1591122114
437,matamoros,25.53,-103.25,87.8,33,5,4.7,MX,1591122114
438,norman wells,65.28,-126.83,46.4,65,75,5.82,CA,1591121584
439,sao sebastiao,-23.76,-45.41,70.09,80,80,8.21,BR,1591122115
440,owando,-0.48,15.9,74.62,90,38,2.39,CG,1591122115
441,touros,-5.2,-35.46,87.8,62,40,11.41,BR,1591121566
442,san luis,-33.3,-66.34,62.37,31,83,8.34,AR,1591121925
443,panjab,34.39,67.02,52.79,40,4,6.71,AF,1591122116
444,santo domingo,18.5,-69.99,91.4,59,40,11.41,DO,1591121852
445,provideniya,64.38,-173.3,45.7,60,0,0.94,RU,1591122116
446,sebrovo,50.1,43.3,62.01,89,33,8.99,RU,1591122116
447,siniscola,40.57,9.69,73.4,43,99,10.29,IT,1591122117
448,galveston,29.37,-94.97,89.01,62,40,12.75,US,1591122117
449,caconda,-13.73,15.07,66.6,40,56,5.91,AO,1591122117
450,gazanjyk,39.24,55.52,91.15,18,13,2.28,TM,1591122118
451,vaitape,-16.52,-151.75,81.34,75,100,13.27,PF,1591122118
452,alofi,-19.06,-169.92,75.2,88,15,10.29,NU,1591121592
453,turukhansk,65.82,87.98,45.43,62,97,8.32,RU,1591122118
454,kupang,-10.17,123.58,77.43,81,3,13.8,ID,1591122119
455,marsabit,2.33,37.99,73.06,60,100,19.66,KE,1591122119
456,pacific grove,36.62,-121.92,84.99,56,1,5.82,US,1591122119
457,phan thiet,10.93,108.1,79.47,82,99,5.44,VN,1591122120
458,saint anthony,45.02,-93.22,90.0,31,40,14.99,US,1591121598
459,buala,-8.14,159.59,81.14,78,84,5.99,SB,1591122120
460,jalgaon,21.02,75.57,76.53,71,100,10.16,IN,1591122121
461,whitehorse,60.72,-135.05,48.2,57,75,14.99,CA,1591121916
462,ossora,59.24,163.07,39.92,80,47,4.76,RU,1591122121
463,hulan ergi,47.2,123.63,54.95,84,100,14.7,CN,1591122122
464,ocos,14.51,-92.19,82.4,83,90,4.7,GT,1591122122
465,teacapan,22.55,-105.75,82.08,65,6,10.89,MX,1591122123
466,gat,31.61,34.76,73.0,74,0,1.01,IL,1591122123
467,aiken,33.58,-81.6,86.0,48,40,6.93,US,1591121910
468,kvitok,56.07,98.48,50.29,60,91,5.7,RU,1591122123
469,asyut,27.18,31.18,91.4,29,0,10.29,EG,1591122124
470,qasigiannguit,68.82,-51.19,41.0,80,75,13.87,GL,1591122124
471,turtas,58.94,69.13,40.96,73,13,3.69,RU,1591122124
472,olafsvik,64.89,-23.71,47.34,85,62,13.38,IS,1591122125
473,nileshwar,12.25,75.1,77.0,88,75,3.36,IN,1591122125
474,lubartow,51.46,22.61,51.8,87,100,3.36,PL,1591122125
475,maceio,-9.67,-35.74,82.4,78,75,4.7,BR,1591121959
476,awjilah,29.11,21.29,82.42,29,66,7.2,LY,1591122126
477,kotovo,50.32,44.8,63.3,76,24,8.25,RU,1591122126
478,deputatskiy,69.3,139.9,42.08,77,66,2.59,RU,1591122126
479,tineo,43.34,-6.41,69.01,82,98,3.36,ES,1591122127
480,kaa-khem,51.68,94.73,50.5,79,100,1.59,RU,1591122127
481,tirthahalli,13.7,75.23,71.33,95,100,11.39,IN,1591122127
482,fare,-16.7,-151.02,80.85,75,100,12.66,PF,1591122127
483,olinda,-8.01,-34.86,84.2,74,20,8.05,BR,1591122128
484,raahe,64.68,24.48,59.0,72,3,6.93,FI,1591122128
485,pemba,-12.97,40.52,78.8,78,40,11.41,MZ,1591122128
486,kalmunai,7.42,81.82,82.83,77,72,1.39,LK,1591122129
487,aripuana,-9.17,-60.63,90.3,43,100,2.26,BR,1591122129
488,mangrol,21.12,70.12,83.59,78,84,5.61,IN,1591122129
489,shasta lake,40.68,-122.37,89.01,34,3,1.01,US,1591122129
490,puerto madero,14.72,-92.42,82.4,83,90,4.7,MX,1591122130
491,san rafael,-34.62,-68.33,65.68,27,51,13.87,AR,1591121892
492,abrau-dyurso,44.69,37.59,60.8,87,20,6.71,RU,1591122130
493,calatagan,13.88,120.65,82.36,77,100,3.49,PH,1591122130
494,nemuro,43.32,145.57,49.69,91,100,11.45,JP,1591122131
495,virginia beach,36.85,-75.98,78.01,57,75,13.87,US,1591121885
496,binga,-17.62,27.34,63.63,62,0,0.13,ZW,1591122131
497,nayoro,44.35,142.46,49.75,88,77,4.03,JP,1591122132
498,kurumkan,54.3,110.3,43.5,75,81,1.72,RU,1591122132
499,coffs harbour,-30.3,153.13,41.0,93,0,1.12,AU,1591122132
500,puerto leguizamo,-0.19,-74.78,93.34,45,11,2.51,CO,1591122132
501,alghero,40.56,8.32,69.8,68,93,9.17,IT,1591122133
502,madinat sittah uktubar,29.82,31.05,78.8,34,0,12.75,EG,1591122133
503,asau,46.43,26.4,55.4,71,75,9.17,RO,1591122133
504,mgandu,-5.95,34.13,64.06,60,99,4.47,TZ,1591122134
505,bayan,46.08,127.4,64.0,67,54,5.26,CN,1591122134
506,santa vitoria do palmar,-33.52,-53.37,58.93,62,36,4.32,BR,1591122134
507,carballo,43.21,-8.69,72.0,79,60,1.99,ES,1591122134
508,kununurra,-15.77,128.73,77.0,39,40,16.11,AU,1591122135
509,ayan,56.45,138.17,37.92,91,100,12.48,RU,1591122135
510,lexington,37.99,-84.48,82.4,54,1,12.75,US,1591122108
511,aswan,24.09,32.91,98.6,13,0,11.41,EG,1591122135
512,kolpashevo,58.31,82.91,45.54,95,100,11.43,RU,1591122136
513,duminichi,53.93,35.11,52.84,96,64,5.41,RU,1591122136
514,tabuk,17.42,121.44,75.0,87,67,3.0,PH,1591122136
515,darhan,49.49,105.92,47.48,55,18,1.57,MN,1591122136
516,sterling,39.01,-77.43,75.2,33,75,5.82,US,1591122120
517,phatthalung,7.5,100.08,79.09,82,94,3.94,TH,1591122137
518,torrington,41.8,-73.12,68.0,65,95,9.78,US,1591122137
519,leningradskiy,69.38,178.42,39.78,80,1,0.67,RU,1591122138
520,melilla,35.29,-2.94,73.4,73,95,6.93,ES,1591122138
521,shubarshi,48.59,57.19,75.16,47,56,11.25,KZ,1591122138
522,berezovyy,51.67,135.7,43.57,90,100,4.27,RU,1591122139
523,mount isa,-20.73,139.5,57.2,26,19,10.29,AU,1591121586
524,port macquarie,-31.43,152.92,48.0,73,0,9.55,AU,1591121952
525,yabrud,33.97,36.66,68.0,30,0,25.28,SY,1591122140
526,lukiv,51.05,25.4,46.99,98,100,3.0,UA,1591122140
527,saint-georges,12.06,-61.75,86.0,70,40,20.8,GD,1591122119
528,parati,-23.22,-44.71,77.0,41,40,10.29,BR,1591122141
529,corralillo,22.98,-80.59,84.07,76,81,18.25,CU,1591122141
530,cakovec,46.38,16.43,64.0,60,54,6.08,HR,1591122141
531,udachnyy,66.42,112.4,55.4,37,75,6.71,RU,1591122142
532,ahipara,-35.17,173.17,55.76,86,99,7.52,NZ,1591122142
533,young,-32.68,-57.63,57.07,54,0,4.47,UY,1591122142
534,ulaanbaatar,47.91,106.88,32.0,68,51,4.47,MN,1591121988
535,noumea,-22.28,166.46,73.99,94,51,1.12,NC,1591122143
536,junction city,39.03,-96.83,87.8,55,1,17.22,US,1591122143
537,saint albans,51.75,-0.33,73.0,28,64,10.29,GB,1591122143
538,singtam,27.23,88.5,72.37,69,88,3.33,IN,1591122144
539,edea,3.8,10.13,87.8,62,20,4.7,CM,1591122144
540,teahupoo,-17.83,-149.27,78.8,74,75,3.36,PF,1591122144
541,ndioum,16.51,-14.65,104.0,19,99,2.24,SN,1591122145
542,kavaratti,10.57,72.64,84.09,77,100,21.56,IN,1591122145
543,santa rosa,14.31,121.11,86.0,74,75,1.12,PH,1591122145
544,peace river,56.25,-117.29,59.0,44,75,17.22,CA,1591122145
545,westport,41.14,-73.36,71.01,52,90,5.82,US,1591122004
546,nizhniy kuranakh,58.84,125.49,41.99,66,12,2.46,RU,1591122146
547,belaya gora,68.53,146.42,48.2,52,99,2.77,RU,1591122146
548,xunchang,28.45,104.72,62.22,84,100,2.98,CN,1591122146
549,yoichi,43.2,140.77,55.0,80,100,10.13,JP,1591122147
550,sao geraldo do araguaia,-6.4,-48.55,81.95,88,97,3.27,BR,1591122147
551,fonte boa,-2.5,-66.27,90.88,52,53,1.79,BR,1591122147
552,huanuco,-9.93,-76.24,73.4,53,75,23.04,PE,1591122148
553,lavrentiya,65.58,-171.0,40.5,71,0,1.28,RU,1591122148
554,khandyga,62.67,135.6,41.05,87,2,0.81,RU,1591122148
555,eufaula,31.89,-85.15,86.0,62,92,8.34,US,1591122149
556,nhulunbuy,-12.23,136.77,75.2,69,40,11.41,AU,1591122149
557,ulladulla,-35.35,150.47,54.0,62,0,19.46,AU,1591122149
558,imbituba,-28.24,-48.67,64.4,48,20,10.29,BR,1591122150
559,yzeure,46.56,3.35,82.4,32,34,2.24,FR,1591122150
560,ramhormoz,31.28,49.6,100.4,19,0,6.93,IR,1591122150
561,solnechnyy,50.72,136.63,43.21,92,100,6.73,RU,1591122151
562,odienne,9.51,-7.57,85.44,62,82,4.18,CI,1591122151
563,andrews,32.32,-102.55,82.4,45,75,5.82,US,1591122151
564,port hedland,-20.32,118.57,66.2,45,99,8.05,AU,1591122151
565,utete,-7.99,38.76,72.82,81,60,6.51,TZ,1591122152
566,akyab,20.15,92.9,84.22,79,66,7.72,MM,1591122152
567,lasa,46.62,10.7,64.4,36,5,6.93,IT,1591122152
568,atambua,-9.11,124.89,70.7,88,12,6.02,ID,1591122153
569,ukiah,39.15,-123.21,82.0,53,1,3.36,US,1591121858
570,boddam,57.47,-1.78,51.8,93,75,10.29,GB,1591122153
